pl_name,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_albedo,star_spect,st_teff,st_rad,st_mass,Probability,ESI
Kepler-779 b,7.0971422,0.0533,0.92,0.721,0.0,27930.872160000003,542.29563,89.89,0.3,K9,3804.0,0.44,0.46,63.62334280016658,35.788008
Kepler-20 e,6.0984882,0.063969578,0.821,0.76,0.092,230200.25040000002,917.38098,87.63,0.25,G7,5495.0,0.92,0.93,51.026825051433676,29.775090999999996
Kepler-1027 b,1.9078052,0.0295,0.89,0.64,0.0,1602857.376,1492.5837,86.74,0.3,G8,5436.0,0.82,0.91,53.28176617959261,29.289352
K2-411 b,3.2141,0.0511,0.99,0.937,nan,943402.692,1307.3421,90.001,0.3,G4,5711.0,1.38,1.02,53.69950827125714,29.492006
YZ Cet b,2.02087,0.016369412,0.913,0.7,0.06,11189.687096000001,431.1475,nan,0.3,M4,3151.0,0.16,0.14,68.17620549826026,44.521766
Kepler-37 c,21.301848,0.13968117,0.755,1.3,0.099,33701.40928,567.31672,89.07,0.4,G9,5357.0,0.79,0.79,21.058805126177013,34.032187
GJ 1002 b,10.3465,0.0457,1.03,1.08,nan,915.6015312,230.74995,nan,0.3,M5,3024.0,0.14,0.12,69.02709268733614,86.151546
Kepler-1169 b,6.1100913,0.0709,0.94,0.779,0.0,494591.2544,1112.44,89.16,0.3,F9,6191.0,1.23,1.24,48.486405032375195,29.643133
Kepler-1150 b,2.7878684,0.0382,1.02,1.04,0.0,201100.0584,888.31711,89.16,0.3,K3,4754.0,0.72,0.76,57.03254768384129,30.23579
Kepler-1200 b,1.1185497,0.0188,1.06,1.2,0.0,787450.404,1249.5993,87.68,0.3,K4,4612.0,0.7,0.74,57.08356332272324,29.503058999999997
Kepler-1293 b,5.5765478,0.0659,0.97,0.871,0.0,1258253.3,1404.9375,87.54,0.3,F8,6241.0,1.28,1.18,48.6133040475096,29.433799
Kepler-1296 b,8.3839865,0.0896,0.91,0.693,0.0,518707.9304,1125.7597,81.36,0.3,G9,5359.0,0.83,0.87,53.355137383008945,29.580277
Kepler-1081 b,3.8569186,0.0466,1.01,1.01,0.0,309575.848,989.47939,87.9,0.3,G9,5345.0,0.84,0.88,54.348111555683346,29.907002
Kepler-1650 b,1.53818,0.016700835,0.96,0.84,0.01,65633.82032,671.41148,77.38,0.3,M4,3410.0,0.33,0.33,67.09819336577944,32.144884000000005
Kepler-374 c,3.282807,0.042,1.1,1.37,0.0,1448906.328,1455.3755,88.82,0.3,G1,5977.0,0.91,1.04,54.16840749712644,29.341666
TRAPPIST-1 b,1.510826,0.011540223,1.116,1.374,0.00622,5651.135104,363.70206,89.728,0.3,M7,2566.0,0.12,0.09,69.05606577547809,56.548578000000006
TRAPPIST-1 e,6.101013,0.02925038,0.92,0.692,0.0051,879.6153872,228.44732,89.793,0.3,M7,2566.0,0.12,0.09,68.37114920655772,84.549451
Kepler-398 d,6.83437,0.0618,0.88,0.615,0.0,55025.24096,642.47387,85.83,0.3,K4,4557.0,0.67,0.72,58.67366962334413,32.549199
Kepler-625 c,4.1653651,0.0508,1.05,1.16,0.0,1342182.2319999998,1427.8016,87.83,0.3,G2,5789.0,0.96,1.04,53.962952965124614,29.411405000000002
Kepler-398 c,11.419412,0.087,1.01,1.01,0.0,27765.173840000003,541.48955,85.38,0.3,K5,4493.0,0.61,0.65,59.75104681098264,35.892027999999996
Kepler-889 b,3.744439,0.0492,1.09,1.32,0.0,1357090.1576,1431.7499,89.01,0.3,G1,5961.0,1.25,1.14,54.11537609316431,29.365244
Kepler-26 d,3.543919,0.039,1.07,1.24,0.0,77877.08568,700.75694,89.91,0.3,M0,4486.0,0.57,0.62,62.27710932929608,31.674778999999997
Kepler-220 d,28.122397,0.163,0.98,0.904,0.0,10793.534872,427.5687,89.34,0.3,K4,4632.0,0.67,0.73,59.31195455958368,45.109952
K2-315 b,3.1443189,0.023263602,0.95,0.809,nan,10308.251376,422.67955,88.74,0.3,M(,3300.0,0.2,0.17,68.19342808883725,45.742471
K2-183 b,0.469285,0.011574707,1.1,1.37,nan,7387864.624,2186.9795,90.1,0.3,G7,5482.0,0.87,0.94,54.25516647907484,29.235197000000003
K2-156 b,0.813143,0.0149,1.1,1.37,nan,889541.8232000001,1288.2691,89.8,0.3,K5,4460.0,0.62,0.66,58.9132179578739,29.424837999999998
K2-239 d,10.115,0.0685,1.1,1.37,nan,4636.153096,346.1421,89.43,0.3,M3,3420.0,0.36,0.4,68.26025635922643,61.218941
Kepler-197 b,5.599308,0.060012,1.02,1.04,0.02,629974.9568,1181.7163,79.07,0.3,G0,6004.0,1.12,0.86,53.82137632530106,29.590487
Kepler-130 b,8.457458,0.07988875,1.02,1.04,0.15,347717.3336,1014.3124,88.36,0.3,G1,5884.0,1.13,0.93,53.82181437876182,29.836806
Proxima Cen b,11.1868,0.048569712,1.03,1.07,0.02,922.7168063999999,231.1796,nan,0.3,M5,2900.0,0.14,0.12,69.02367987030001,86.41422899999999
Kepler-1163 b,6.117869,0.0685,1.03,1.08,0.0,721369.4863999999,1222.5156,88.22,0.3,F8,6302.0,1.35,1.22,48.87119628968753,29.547693000000002
Kepler-1157 b,4.4574316,0.0448,1.09,1.32,0.0,143213.1408,816.0386,89.31,0.3,K4,4679.0,0.71,0.76,57.48931374399066,30.552888
Kepler-1398 c,4.1382759,0.051,1.03,1.08,0.0,1072503.0992,1349.9405,86.45,0.3,F9,6126.0,1.18,1.13,48.87123700191286,29.460686000000003
Kepler-1408 b,2.9979319,0.0425,0.89,0.64,0.0,2856018.768,1724.4684,85.24,0.3,F9,6170.0,1.35,1.21,48.26990914807388,29.236859999999997
Kepler-1053 b,2.4143516,0.0315,0.98,0.904,0.0,174549.1728,857.42162,89.12,0.3,K4,4529.0,0.69,0.74,59.56886705116221,30.379025
Kepler-1347 b,14.009475,0.104,1.03,1.08,0.0,51460.29064,631.80497,89.5,0.3,K0,5193.0,0.79,0.82,55.229186476273355,32.922455
Kepler-1352 b,1.8778827,0.03,0.89,0.64,0.0,2768830.664,1711.1539,87.58,0.3,F9,6118.0,1.16,1.11,48.270047285056,29.238975
Kepler-1203 b,0.58800076,0.0114,1.06,1.2,0.0,1464634.3199999998,1459.3091,83.78,0.3,K6,4105.0,0.61,0.64,58.64461436873556,29.390476999999997
Kepler-1387 b,2.2795267,0.031,0.93,0.749,0.0,389776.3808,1048.139,89.83,0.3,K1,5046.0,0.77,0.82,55.577304339725444,29.734233
Kepler-1427 b,0.96897238,0.0197,1.1,1.37,0.0,3635854.192,1831.7517,89.25,0.3,G2,5793.0,1.01,1.01,54.182929799642935,29.262017
Kepler-1445 b,10.600523,0.0948,0.96,0.84,0.0,331071.8312,1006.226,86.66,0.3,F9,6150.0,1.26,1.13,48.57246711249689,29.853042000000002
Kepler-1425 b,14.45413,0.1038,0.94,0.779,0.0,315605.2312,994.26244,87.74,0.3,G4,5718.0,0.95,0.97,53.48612910018148,29.862016000000004
Kepler-1398 b,2.7881568,0.0392,0.9,0.666,0.0,1815376.824,1539.7729,89.47,0.3,F9,6126.0,1.18,1.13,48.312045868669536,29.297174
Kepler-1328 b,4.5215889,0.0529,0.98,0.904,0.0,821537.8248,1262.9085,88.82,0.3,G2,5780.0,0.99,1.0,53.65792773687204,29.519430000000003
Kepler-1637 b,6.1096032,0.0596,0.89,0.64,0.0,403688.5144,1057.369,89.24,0.3,G2,5789.0,1.02,1.02,53.28961237631623,29.643694999999997
Kepler-1616 b,6.7628438,0.0761,1.02,1.04,0.0,1020397.9904,1333.2371,85.5,0.3,F8,6266.0,1.34,1.21,48.8208858421828,29.474085
Kepler-192 d,6.4702758,0.0668,1.02,1.04,0.0,245462.97280000002,933.70886,85.94,0.3,G7,5487.0,0.94,0.94,53.904726931705774,30.065053000000002
Kepler-1597 b,2.9465418,0.0427,1.06,1.2,0.0,2026203.888,1582.6532,89.92,0.3,F7,6377.0,1.39,1.25,49.00472486225754,29.354155
Kepler-1605 b,85.75655,0.3912,1.08,1.28,0.0,23863.88872,521.3751,89.51,0.3,K0,5280.0,0.82,0.86,54.0808126238231,36.855763
Kepler-163 b,7.810937,0.078,1.05,1.16,0.0,162685.8248,842.46605,85.78,0.3,G2,5776.0,0.92,0.88,54.156838861103125,30.440374
LHS 475 b,2.029088,0.02001557,0.991,0.941,nan,30395.05888,553.88006,87.194,0.3,M3,3300.0,0.28,0.26,67.79007108492897,35.345302000000004
Kepler-316 b,2.240508,0.027,1.06,1.2,0.0,216177.9432,904.51928,87.63,0.3,K6,4204.0,0.52,0.59,60.12695821677367,30.143092
Kepler-399 b,14.425281,0.103,0.96,0.84,0.0,48962.59896,623.99498,89.98,0.3,G7,5502.0,0.68,0.9,55.39161576158591,33.09576
Ross 128 b,9.8658,0.049933709,1.11,1.4,0.116,2016.1243840000002,280.37696,nan,0.3,M4,3192.0,0.2,0.17,75.69629631220768,85.77206699999999
AU Mic d,12.73596,0.085255576,1.02,1.053,0.00305,17143.49632,479.9976,89.318,0.3,M1,3678.0,0.74,0.51,62.47162650209944,39.679677000000005
Kepler-1948 b,15.5713,0.1022,1.033,1.09,0.0,17891.10328,485.14802,89.64,0.3,K9,3872.0,0.56,0.59,60.488512124281996,39.26923
Kepler-1957 b,2.18662,0.0299,0.944,0.79,0.0,381238.30079999997,1042.3513,82.31,0.3,K2,4904.0,0.77,0.74,55.95449996359399,29.762483
TRAPPIST-1 f,9.20754,0.038491952,1.045,1.039,0.01007,508.0016296,199.14665,89.74,0.3,M7,2566.0,0.12,0.09,68.68637878026257,67.711241
YZ Cet c,3.05989,0.02156,1.05,1.14,0.0,6415.660872,375.42685,nan,0.3,M4,3151.0,0.16,0.14,68.75993656282465,53.992253
Kepler-969 c,1.6829346,0.0272,0.99,0.937,0.0,750587.1008,1234.7108,82.42,0.3,K0,5214.0,0.82,0.92,54.53690047997862,29.544207
EPIC 206317286 b,1.58252,0.023704375,0.96,0.84,nan,617848.34,1176.0762,nan,0.3,K3,4864.0,0.67,0.71,55.8375320229633,29.585146
GJ 1061 b,3.204,0.02200905,1.1,1.37,0.31,5508.585888,354.65981,nan,0.3,M5,2953.0,0.16,0.12,69.06153703590711,57.158634
Kepler-1047 c,3.188976,0.0434,0.99,0.937,0.0,1916723.4799999997,1560.8273,86.09,0.3,G3,5754.0,1.13,1.08,53.69940804823058,29.388703
Kepler-1421 b,6.9131112,0.0762,0.93,0.749,0.0,930312.7328,1302.7834,88.6,0.3,F8,6335.0,1.42,1.25,48.440591248232145,29.449132
Kepler-1178 b,31.80634,0.1596,1.07,1.24,0.0,28214.550479999998,543.66737,89.5,0.3,K2,4990.0,0.75,0.8,54.85328212358652,35.748142
Kepler-1278 b,3.2394134,0.0419,1.01,1.01,0.0,1799330.1840000001,1536.359,87.54,0.3,G0,6074.0,1.16,1.11,53.79462889448897,29.395257
Kepler-1331 b,0.78916165,0.0142,1.05,1.16,0.0,831691.4216,1266.7927,86.5,0.3,K4,4508.0,0.69,0.72,59.6530632202826,29.499102999999998
Kepler-336 b,2.024823,0.033,1.02,1.04,0.0,2272537.288,1628.7062,87.61,0.3,G1,5867.0,1.3,1.09,53.820985110680844,29.370435999999998
Kepler-865 c,6.2092021,0.061,0.89,0.64,0.0,184026.02000000002,868.82997,89.11,0.3,G8,5440.0,0.89,0.78,53.87598465452119,30.205358
Kepler-362 b,10.327186,0.087,0.88,0.615,0.0,290737.06,974.06981,88.47,0.3,G2,5788.0,0.72,1.02,53.229653743781284,29.802529
TOI-540 b,1.2391491,0.01223,0.903,0.674,0.0,31454.732799999998,558.64573,86.8,0.3,MV,3216.0,0.19,0.16,67.95947708005347,35.050419
Kepler-1800 b,4.5620298,0.0592,0.997,0.961,0.0,251707.11359999998,939.59102,79.48,0.3,G9,5343.0,2.51,1.33,53.93674914426735,30.04925
Kepler-1416 b,1.4951495,0.0257,0.88,0.615,0.0,3959794.6319999998,1871.2557,42.38,0.3,G0,6019.0,1.15,1.09,53.22904409161842,29.193879
